Reading books is good for mental health,читать книги полезны для психического зодоровья
The sun shines brightly,солнце светит ярко
I will have to clean the table,мне придётся чистить стол
Some people stay inside all day,некоторые люди остаются внутри весь день
I'm sorry I have to kill you,прости мне придётся убить тебя
After all only this way will I know for sure,ведь толко так я буду знать точно
That between us nothing ever will be gone,что между нами ничего никогда уже не будет
You flow like a river downwards,ты стекаешь как речка вниз
"Sleep calmly, like in old age at night",спи спокойно как в старости ночью
Sleep tight girlfriend,спи крепко подружка
"When the film came out, tickets were not available",когда филм вышёл билетов было не достать
Seems it was not in this life,кажется не было в этой жизни
Mother sang this song to me for the night,мама пела эту песню мне на ночь
I'm probably the only one like that,я наверное один такой
The romance of a new life only stayed in memory,романтика новой жнзни остала только в памяти
I totally forgot what a beautiful voice he had,я совсем забыл какой красивый голос у него был
"Golden film, golden song and golden time","золотой филмь, золотая песня и золотое время"
Corona virus has taken over the whole world,коронавирус захватил весь мир
People are just panicking all over the world,люди просто паникуют везде
"In Europe it's impossible to buy products, shops are empty and no toilet paper","в Европе невозможно купить продукты, магазины пустые и нету туалетной бумаги"